Account;Hostname;IP
PTCTT;GSA-BPOSTAL-BSAN01;10.51.33.40
PTCTT;GSA-BPOSTAL-BSAN02;10.51.33.41
PTCTT;BCTT_ALF_100_8960P64_783316T;10.251.40.42
PTCTT;BCTT_ALF_200_8960P64_783317G; 10.251.40.43
PTCTT;BCTT_GSA_010_2498F48_10424BL;10.252.40.80
PTCTT;BCTT_GSA_020_2498F48_10422YH;10.252.40.81
PTBBV;BBVA_NCI_01_G720_FME1908V029;10.10.1.47
PTBBV;BBVA_NCI_02_G720_FME1908V02A;10.10.1.48
PTBBV;BBVA_GSA_01_8960F24_782524D;10.10.3.214
PTBBV;BBVA_GSA_02_8960F24_782522X;10.10.3.215
PTBIC;BIC_ALF_020_2498X24_10493HM;10.90.230.11
PTBIC;BIC_ALF_030_2498X24_10516LM;10.90.230.12
PTBIC;BIC_ALF_050_2498F96_10372WD;10.90.230.22
PTBIC;BIC_ALF_060_2498F96_10372VW;10.90.230.23
PTBIC;BIC_GS_040_2498X24_10496YH;10.90.232.11
PTBIC;BIC_GS_050_2498X24_10490XA;10.90.232.22
PTBIC;BIC_ALF_10_249824G_10272DB;10.90.251.31
PTBIC;BIC_ALF_11_249824G_10272DD;10.90.251.32
PTBIC;PSRALIBMFC11;10.90.252.69
PTBIC;PSRALIBMFC12;10.90.252.70
PTBIC;PSRALIBMFC21;10.90.252.71
PTBIC;PSRALIBMFC22;10.90.252.72
PTBIC;PSRALIBMFC31;10.90.252.73
PTBIC;PSRALIBMFC32;10.90.252.74
PTBPG;BPG_GSA_001_G610_FRC1931U0BW;10.99.12.20
PTBPG;BPG_GSA_002_G610_FRC1931U0C2;10.99.12.21
PTCHR;CHR_249824E_10334NA;192.168.238.233
PTCHR;CHR_249824E_10334MV;192.168.238.234
PTCIN;CIN_GSA_021_2498F48_10536NH;10.130.10.33
PTCIN;CIN_GSA_022_2498F48_10536NP;10.130.10.34
PTBCP;SAN_DCX_NCI_10;10.103.249.137
PTBCP;SAN_DCX_NCI_20;10.103.249.139
PTBCP;BCP_NCI_110_8961F08_781412R;10.103.249.155
PTBCP;BCP_NCI_120_8961F08_781414A;10.103.249.158
PTBCP;BCP_NCI_130_8961F04_781314L;10.103.249.149
PTBCP;BCP_NCI_140_8961F04_781315H;10.103.249.152
PTBCP;BCP_GSA_001_2498F48_10540CV;10.103.93.93
PTBCP;BCP_GSA_002_2498F48_130683E;10.103.93.97
PTBCP;BCP_GSA_072_2498F96_10374CA;10.103.93.193
PTBCP;BCP_GSA_073_2498F48_130712D;10.103.93.98
PTBCP;BCP_GSA_082_2498F96_10374CB;10.103.93.194
PTBCP;BCP_GSA_083_2498F48_130709N;10.103.93.99
PTMTP;MTP_GSA_100_8960F24_782501A;10.200.102.201
PTMTP;MTP_GSA_200_8960F24_782507C;10.200.102.200 
PTINF;INF_ALF_100_8960F96_781016D;192.168.69.88
PTINF;INF_ALF_200_8960F96_781016F;192.168.69.89
PTINF;INF_ALF_001_2498F48_10427MC;192.168.69.78
PTINF;INF_ALF_002_2498F48_10427NF;192.168.69.79
PTINF;INF_NCI_001_8960P64_755904B;10.52.23.45
PTINF;INF_NCI_002_8960P64_755904E;10.52.23.46
PTINF;INF_NCI_030_8961F04_781313E;10.52.23.160
PTINF;INF_NCI_040_8961F04_781314C;10.52.23.163
PTSGP;SGP_GSA_001_8960F24_755350M;172.25.43.204
PTSGP;SGP_GSA_002_8960F24_755351K;172.25.43.205
PTUNI;UCE_ALF_200_2498F96_10371FL;10.145.103.10
PTUNI;UCE_ALF_100_2498F96_10371FM;10.145.103.9
PTUNI;UCE_GSA_040_2498F48_10430LC;10.160.18.18
PTUNI;UCE_GSA_030_2498F48_10430LH;10.160.18.19
PTUNI;UCE_NCI_110_2498F48_10430BM;10.145.103.11
PTUNI;UCE_NCI_210_2498F48_10430BV;10.145.103.12
PTUNI;UCE_NCI_043_2498F24_10251VV;10.145.103.33
PTUNI;UCE_NCI_033_2498F24_10252MK;10.145.103.34
PTINF;INF_NCI_031_8961F04_781313D;10.52.23.249
PTINF;INF_NCI_041_8961F04_781314F;10.52.23.252
